"site","Stream","Latitude","Longitude","catchment_id","catchment_name","notes"
"Abel_2017","Abel",34.832413,-119.862516,NA,NA,NA
"Agua Caliente Creek_2017","Agua Caliente Creek",34.5418,-119.5654,NA,NA,NA
"Alder Creek_2016","Alder Creek",34.4836,-119.49637,NA,NA,NA
"Alder Creek_2017","Alder Creek",34.4831,-119.4954,NA,NA,NA
"Bear Creek_2017","Bear Creek",34.5295,-119.8652,NA,NA,NA
"Cachuma Creek_2017","Cachuma Creek",34.6956,-119.9105,NA,NA,NA
"Camuesa Creek_2017","Camuesa Creek",34.5669,-119.713,NA,NA,NA
"Coche_2017","Coche",34.678763,-119.736066,NA,NA,NA
"Davy Brown_2017","Davy Brown",34.760014,-119.953721,NA,NA,NA
"Fir Canyon_2017","Fir Canyon",34.7682,-119.946621,NA,NA,NA
"Fox Creek_2016","Fox Creek",34.48383,-119.52851,NA,NA,NA
"Fox Creek_2017","Fox Creek",34.4837,-119.528,NA,NA,NA
"Horse_2017","Horse",34.840102,-120.016157,NA,NA,NA
"Indian Creek_2017","Indian Creek",34.5465,-119.642,NA,NA,NA
"Indian_2017","Indian",34.659859,-119.640347,NA,NA,NA
"Lion Canyon Creek_2017","Lion Canyon Creek",34.7056,-119.922,NA,NA,NA
"Lion Creek_2016","Lion Creek",34.54375,-119.16379,NA,NA,NA
"Lion Creek_2017","Lion Creek",34.5424,-119.163,NA,NA,NA
"Manzana - Nira_2017","Manzana - Nira",34.771166,-119.939524,NA,NA,NA
"Manzana - Potrero_2017","Manzana - Potrero",34.772681,-119.945349,NA,NA,NA
"Manzana Narrows_2016","Manzana Narrows",34.73718,-119.87086,NA,NA,NA
"Manzana Narrows_2017","Manzana Narrows",34.737254,-119.870379,NA,NA,NA
"Matilija Creek_2017","Matilija Creek",34.5315,-119.4026,NA,NA,NA
"Mono Creek_2017","Mono Creek",34.5417,-119.6251,NA,NA,NA
"Munch_2017","Munch",34.757563,-119.953764,NA,NA,NA
"Rancho Nuevo Creek_2017","Rancho Nuevo Creek",34.6892,-119.4114,NA,NA,NA
"Reyes Creek_2016","Reyes Creek",34.6789,-119.30264,NA,NA,NA
"Santa Barbara Creek_2017","Santa Barbara Creek",34.7635,-119.5709,NA,NA,NA
"Sisquoc - Cottonwood_2017","Sisquoc - Cottonwood",34.744117,-119.693049,NA,NA,NA
"Sisquoc - Heath_2016","Sisquoc - Heath",34.73491,-119.680645,NA,NA,NA
"Sisquoc - Heath_2017","Sisquoc - Heath",34.734972,-119.680683,NA,NA,NA
"Sisquoc - Lower Bear_2016","Sisquoc - Lower Bear",34.717032,-119.64656,NA,NA,NA
"Sisquoc - Lower Bear_2017","Sisquoc - Lower Bear",34.717328,-119.647184,NA,NA,NA
"South Fork Sisquoc_2016","South Fork Sisquoc",34.750922,-119.778498,NA,NA,NA
"South Fork Sisquoc_2017","South Fork Sisquoc",34.750922,-119.778498,NA,NA,NA
"Tule Creek_2017","Tule Creek",34.5608,-119.2761,NA,NA,NA
"Upper North Fork Matilija_2017","Upper North Fork Matilija",34.5102,-119.383,NA,NA,NA
