"Stream","n_sites","sites","lat_range","lon_range"
"Alder Creek",2,"Alder Creek_2016, Alder Creek_2017","34.483 - 34.484","-119.496 - -119.495"
"Fox Creek",2,"Fox Creek_2016, Fox Creek_2017","34.484 - 34.484","-119.529 - -119.528"
"Lion Creek",2,"Lion Creek_2016, Lion Creek_2017","34.542 - 34.544","-119.164 - -119.163"
"Manzana Narrows",2,"Manzana Narrows_2016, Manzana Narrows_2017","34.737 - 34.737","-119.871 - -119.87"
"Sisquoc - Heath",2,"Sisquoc - Heath_2016, Sisquoc - Heath_2017","34.735 - 34.735","-119.681 - -119.681"
"Sisquoc - Lower Bear",2,"Sisquoc - Lower Bear_2016, Sisquoc - Lower Bear_2017","34.717 - 34.717","-119.647 - -119.647"
"South Fork Sisquoc",2,"South Fork Sisquoc_2016, South Fork Sisquoc_2017","34.751 - 34.751","-119.778 - -119.778"
"Abel",1,"Abel_2017","34.832 - 34.832","-119.863 - -119.863"
"Agua Caliente Creek",1,"Agua Caliente Creek_2017","34.542 - 34.542","-119.565 - -119.565"
"Bear Creek",1,"Bear Creek_2017","34.529 - 34.529","-119.865 - -119.865"
"Cachuma Creek",1,"Cachuma Creek_2017","34.696 - 34.696","-119.91 - -119.91"
"Camuesa Creek",1,"Camuesa Creek_2017","34.567 - 34.567","-119.713 - -119.713"
"Coche",1,"Coche_2017","34.679 - 34.679","-119.736 - -119.736"
"Davy Brown",1,"Davy Brown_2017","34.76 - 34.76","-119.954 - -119.954"
"Fir Canyon",1,"Fir Canyon_2017","34.768 - 34.768","-119.947 - -119.947"
"Horse",1,"Horse_2017","34.84 - 34.84","-120.016 - -120.016"
"Indian",1,"Indian_2017","34.66 - 34.66","-119.64 - -119.64"
"Indian Creek",1,"Indian Creek_2017","34.547 - 34.547","-119.642 - -119.642"
"Lion Canyon Creek",1,"Lion Canyon Creek_2017","34.706 - 34.706","-119.922 - -119.922"
"Manzana - Nira",1,"Manzana - Nira_2017","34.771 - 34.771","-119.94 - -119.94"
"Manzana - Potrero",1,"Manzana - Potrero_2017","34.773 - 34.773","-119.945 - -119.945"
"Matilija Creek",1,"Matilija Creek_2017","34.532 - 34.532","-119.403 - -119.403"
"Mono Creek",1,"Mono Creek_2017","34.542 - 34.542","-119.625 - -119.625"
"Munch",1,"Munch_2017","34.758 - 34.758","-119.954 - -119.954"
"Rancho Nuevo Creek",1,"Rancho Nuevo Creek_2017","34.689 - 34.689","-119.411 - -119.411"
"Reyes Creek",1,"Reyes Creek_2016","34.679 - 34.679","-119.303 - -119.303"
"Santa Barbara Creek",1,"Santa Barbara Creek_2017","34.764 - 34.764","-119.571 - -119.571"
"Sisquoc - Cottonwood",1,"Sisquoc - Cottonwood_2017","34.744 - 34.744","-119.693 - -119.693"
"Tule Creek",1,"Tule Creek_2017","34.561 - 34.561","-119.276 - -119.276"
"Upper North Fork Matilija",1,"Upper North Fork Matilija_2017","34.51 - 34.51","-119.383 - -119.383"
